fragment,mass,Intensities
RNA,21269.832086,0.0001278
,21270.834762,0.001031
,21271.837406,0.004271
,21272.840022,0.012099
,21273.842615,0.026317
,21274.845187,0.046806
,21275.847741,0.070816
,21276.850279,0.093635
,21277.852803,0.110341
,21278.855313,0.117616
,21279.857811,0.114728
,21280.860298,0.103366
,21281.862775,0.086679
,21282.865243,0.068081
,21283.867702,0.050356
,21284.870153,0.035235
,21285.872596,0.023417
,21286.875032,0.014833
,21287.877461,0.008982
,21288.879884,0.005214
,21289.882301,0.002908
,21290.884712,0.001562
RNA+CMCT,21521.031849,0.0001081
,21522.034531,0.000889
,21523.037182,0.003757
,21524.039806,0.010844
,21525.042407,0.024008
,21526.044987,0.043436
,21527.04755,0.06681
,21528.050097,0.08976
,21529.052629,0.107424
,21530.055147,0.116242
,21531.057654,0.11506
,21532.06015,0.105156
,21533.062635,0.089417
,21534.065111,0.071195
,21535.067578,0.053366
,21536.070037,0.037832
,21537.072488,0.025468
,21538.074932,0.016336
,21539.07737,0.010015
,21540.0798,0.005885
,21541.082225,0.003322
,21542.084644,0.001805
RNA+CMCT-A,21385.977354,0.0001163
,21386.980044,0.000948
,21387.982701,0.003972
,21388.985332,0.011371
,21389.987938,0.024983
,21390.990524,0.044867
,21391.993091,0.068521
,21392.995642,0.091426
,21393.998178,0.108692
,21395.000701,0.116857
,21396.003212,0.114944
,21397.005711,0.10441
,21398.008199,0.088256
,21399.010679,0.069863
,21400.013149,0.052071
,21401.015611,0.03671
,21402.018065,0.024578
,21403.020511,0.015682
,21404.022951,0.009564
,21405.025384,0.005591
,21406.027812,0.00314
,21407.030233,0.001698
RNA+CMCT-A-H2O,21367.966789,0.0001166
,21368.969479,0.000951
,21369.972136,0.003982
,21370.974766,0.011397
,21371.977373,0.025035
,21372.979959,0.044948
,21373.982526,0.068624
,21374.985077,0.091536
,21375.987614,0.108785
,21376.990136,0.116914
,21377.992647,0.114955
,21378.995146,0.104378
,21379.997635,0.088191
,21381.000114,0.069781
,21382.002584,0.051986
,21383.005046,0.036633
,21384.0075,0.024515
,21385.009947,0.015633
,21386.012387,0.00953
,21387.014821,0.005568
,21388.017248,0.003125
,21389.019669,0.001689
RNA+CMCT-C,21409.988587,0.0001144
,21410.991273,0.000936
,21411.993927,0.003927
,21412.996553,0.011262
,21413.999157,0.024786
,21415.001739,0.044584
,21416.004304,0.068192
,21417.006852,0.091116
,21418.009386,0.108469
,21419.011906,0.116764
,21420.014415,0.11499
,21421.016911,0.104571
,21422.019398,0.088487
,21423.021875,0.070118
,21424.024343,0.052312
,21425.026803,0.036914
,21426.029255,0.024737
,21427.0317,0.015796
,21428.034138,0.009642
,21429.03657,0.00564
,21430.038996,0.00317
,21431.041415,0.001716
RNA+CMCT-C-H2O,21391.978022,0.0001148
,21392.980708,0.000938
