spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/1710_72_6_1.csv
limit_error:	6.5	2020-03-11
noise_limit:	1800000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
1438.186299	6	224637912.8540153	RNA	-2.07	0.14	C256H320N102O188P26	5.1
1450.197167	6	20835367304.84	RNA+DEPC	3.01	0.12	C259H324N102O190P26	384.3
1427.6877	6	638527897.5697869	RNA+DEPC-A	2.79	0.11	C254H319N97O190P26	10.7
1431.690207	6	212657055.14	RNA+DEPC-C	3.23	0.12	C255H319N99O189P26	3.9
1428.691665	6	156514017.78	RNA+DEPC-C-H2O	5.49	0.13	C255H317N99O188P26	3.2
1442.518555	6	1803744856.65	RNA+DEPC-Eth	-0.42	0.11	C257H318N102O189P26	30.1
1420.008495	6	117737804.71425514	RNA+DEPC-Eth-A	-1.11	0.11	C252H313N97O189P26	2.0
1421.010657	6	34958569.53930394	RNA+DEPC-Eth-C-H2O	0.33	0.51	C253H311N99O187P26	31.9
1417.343765	6	412190369.3700005	RNA+DEPC-Eth-G	-0.34	0.14	C252H313N97O188P26	9.3
1414.343566	6	51027396.1312709	RNA+DEPC-Eth-G-H2O	0.76	0.18	C252H311N97O187P26	1.7
1439.5193	6	145227239.94240934	RNA+DEPC-Eth-H2O	1.32	0.21	C257H316N102O188P26	6.6
1425.021642	6	1538776895.6249752	RNA+DEPC-G	2.63	0.11	C254H319N97O189P26	25.7
1422.016919	6	122738418.14630029	RNA+DEPC-G-H2O	0.55	0.1	C254H317N97O188P26	1.9
1447.193608	6	475324087.088948	RNA+DEPC-H2O	1.78	0.18	C259H322N102O189P26	16.0
1415.679301	6	129779052.09358704	RNA-A	-0.63	0.1	C251H315N97O188P26	2.0
1419.67568	6	22384539.22702669	RNA-C	-4.5	0.34	C252H315N99O187P26	3.7
1413.013127	6	48028475.583384715	RNA-G	-0.88	0.08	C251H315N97O187P26	0.6
1435.189519	6	13939382.52	RNA-H2O	1.4	0.46	C256H318N102O187P26	7.7
458.072	1	3010475.63	a02-G	0.32	0.16	C15H18N5O10P1	0.1
1108.15941	1	19711575.64	a04-G	-1.05	0.12	C34H42N13O24P3	0.4
1414.18223	1	6157570.200068408	a05-G	-2.58	0.38	C43H53N15O32P4	1.5
859.10762	2	2486411.413811549	a06-G	-2.7	0.43	C52H65N18O39P5	1.0
1031.632568	2	22020006.94	a07-A	-1.06	0.08	C62H77N23O46P6	0.3
1429.190497	2	18516931.633354496	a09+DEPC-Eth	-4.86	0.18	C87H104N36O60P8	0.6
1348.682679	2	19776365.24	a09-A	1.57	0.15	C81H101N31O59P8	0.5
1171.172481	3	12923984.39	a11+DEPC	1.54	0.3	C107H134N42O75P10	1.4
1653.717874	2	6070635.582706771	a11-A	-2.4	0.52	C99H125N37O73P10	6.1
1452.858179	3	103950562.59	a14	-1.9	0.14	C131H164N49O96P13	2.3
1426.526131	3	110048043.21	a14+DEPC-G	5.58	0.16	C129H163N44O97P13	3.0
1402.512113	3	89680195.47260839	a14-G	0.7	0.13	C126H159N44O95P13	1.8
1517.527104	3	14125356.392775346	a15-G	0.1	0.25	C136H171N49O102P14	1.0
1656.550266	3	12755018.87	a16+DEPC-G	0.28	0.28	C149H187N54O111P15	1.2
1771.562377	3	12573641.98	a17+DEPC-G	-1.83	0.35	C159H199N59O118P16	2.3
1473.189165	4	15979924.08875581	a19-G	2.63	0.33	C175H218N66O131P18	2.4
1611.214968	4	23375374.4	a20+DEPC	-0.68	0.35	C193H239N76O140P19	4.3
1599.712472	4	16336842.7	a20+DEPC-Eth	4.3	0.4	C191H233N76O139P19	5.0
1559.446691	4	18920863.74	a20-A	-0.29	0.24	C185H230N71O138P19	1.2
1484.796222	5	8313664.51	a23+DEPC	-0.15	0.55	C222H274N88O161P22	11.3
1800.486142	4	22500943.964504346	a23-G	3.56	0.13	C214H265N83O158P22	0.5
1501.196281	5	23434588.768318698	a24-G	3.79	0.1	C223H277N86O165P23	0.4
1600.40596	5	8501576.669964552	a25	-2.5	0.5	C238H294N96O173P24	7.0
1584.604293	5	18461385.63	a25+DEPC-G	-0.01	0.3	C236H293N91O174P24	2.1
1570.207952	5	10834222.92	a25-G	5.01	0.46	C233H289N91O172P24	6.0
1675.813967	5	260341880.26	a26+DEPC	-5.06	0.11	C250H310N99O182P25	4.3
1396.344997	6	93444533.76436928	a26+DEPC	-4.17	0.08	C250H310N99O182P25	1.2
1648.809575	5	37930168.31	a26+DEPC-A	-1.19	0.19	C245H305N94O182P25	1.4
1373.838468	6	7394050.103612174	a26+DEPC-A	-2.38	0.46	C245H305N94O182P25	4.1
1645.607196	5	83616789.70607519	a26+DEPC-G	-3.26	0.06	C245H305N94O181P25	0.8
1371.169491	6	27363892.28	a26+DEPC-G	-4.69	0.15	C245H305N94O181P25	0.7
1631.208631	5	19038664.133950226	a26-G	0.18	0.32	C242H301N94O179P25	2.6
689.08769	1	19787048.64	c02	0.14	0.21	C20H24N10O14P2	0.9
761.10905	1	7153446.21	c02+DEPC	0.43	0.23	C23H28N10O16P2	0.4
610.05951	1	4512453.74	c02+DEPC-G	0.32	0.18	C18H23N5O15P2	0.2
538.03841	1	3396330.4	c02-G	0.42	0.16	C15H19N5O13P2	0.1
994.129805	1	123028854.35	c03	0.93	0.02	C29H36N13O21P3	0.8
1066.150713	1	28287603.35	c03+DEPC	0.66	0.09	C32H40N13O23P3	0.4
843.0797	1	5429746.78	c03-G	0.27	0.23	C24H31N8O20P3	0.3
1339.17875	1	8908884.86	c04	1.82	0.35	C39H48N18O28P4	1.6
669.08407	2	17674150.83	c04	-0.67	0.35	C39H48N18O28P4	3.3
1411.19171	1	4509017.942577399	c04+DEPC	-4.06	0.37	C42H52N18O30P4	1.0
705.09621	2	5466902.01	c04+DEPC	1.6	0.37	C42H52N18O30P4	1.2
822.095979	2	42332212.48	c05	-1.45	0.07	C48H59N20O36P5	0.5
858.108071	2	12171291.596795522	c05+DEPC	0.39	0.08	C51H63N20O38P5	0.2
974.618042	2	80260007.97	c06	0.23	0.03	C57H71N23O43P6	0.6
1010.627693	2	19001191.37	c06+DEPC	-0.68	0.09	C60H75N23O45P6	0.3
899.09461	2	10155293.42	c06-G	1.67	0.16	C52H66N18O42P6	0.3
1139.143412	2	40949490.04	c07	-0.58	0.04	C67H83N28O49P7	0.3
1175.154529	2	20670441.946001817	c07+DEPC	-0.09	0.17	C70H87N28O51P7	0.6
1063.62077	2	6753852.42	c07-G	1.32	0.29	C62H78N23O48P7	0.7
1291.663457	2	74905077.73693508	c08	-0.98	0.02	C76H95N31O56P8	0.5
1327.675423	2	20574570.5351342	c08+DEPC	0.11	0.12	C79H99N31O58P8	0.4
1216.142916	2	16161888.91	c08-G	2.39	0.13	C71H90N26O55P8	0.3
1456.200595	2	21546877.03	c09	6.61	0.13	C86H107N36O62P9	0.4
970.457747	3	21003554.98	c09	-0.49	0.13	C86H107N36O62P9	0.4
1608.717749	2	39940373.49	c10	3.81	0.1	C95H119N39O69P10	0.6
1072.138606	3	41819725.89	c10	-0.05	0.03	C95H119N39O69P10	0.3
1761.235357	2	14785564.4	c11	1.76	0.3	C104H131N42O76P11	1.6
1173.818439	3	56781404.81878891	c11	-0.55	0.03	C104H131N42O76P11	0.4
1197.826284	3	30342854.98	c11+DEPC	0.13	0.18	C107H135N42O78P11	1.0
1275.825356	3	30887440.2	c12	-1.69	0.06	C113H142N44O84P12	0.3
1299.832959	3	21199149.96	c12+DEPC	-1.23	0.1	C116H146N44O86P12	0.3
1377.834538	3	68213084.65	c13	-1.03	0.03	C122H153N46O92P13	0.5
1479.518612	3	157183913.58	c14	1.51	0.05	C131H165N49O99P14	1.4
1503.525047	3	85569156.93	c14+DEPC	1.08	0.07	C134H169N49O101P14	1.0
1453.161993	3	17293346.87	c14+DEPC-G	-8.0	0.31	C129H164N44O100P14	2.1
1429.161977	3	44000112.37	c14-G	-3.22	0.3	C126H160N44O98P14	4.9
1594.532893	3	113524971.03	c15	0.44	0.07	C141H177N54O106P15	1.3
1618.544179	3	81937822.54	c15+DEPC	3.05	0.14	C144H181N54O108P15	1.8
1544.182415	3	27118323.03	c15-G	0.02	0.22	C136H172N49O105P15	1.4
1709.545915	3	94138822.08298644	c16	-1.22	0.04	C151H189N59O113P16	0.8
1733.56239	3	61453868.88	c16+DEPC	4.24	0.11	C154H193N59O115P16	1.0
1659.200611	3	28384212.54	c16-G	1.45	0.15	C146H184N54O112P16	0.7
1824.568706	3	43440281.53	c17	2.68	0.11	C161H201N64O120P17	0.7
1374.668205	4	10116593.166515712	c17+DEPC-Eth	1.71	0.37	C162H199N64O121P17	2.3
1774.219825	3	11424286.16	c17-G	3.28	0.39	C156H196N59O119P17	3.1
1926.570941	3	30994460.67	c18	-0.68	0.15	C170H212N66O128P18	0.8
1444.674918	4	41754103.56	c18	-1.7	0.19	C170H212N66O128P18	1.6
1950.58532	3	15295322.41	c18+DEPC	3.09	0.32	C173H216N66O130P18	2.1
1462.677747	4	27913634.72	c18+DEPC	-3.35	0.11	C173H216N66O130P18	0.5
1530.942528	4	51494475.11228774	c19	2.16	0.09	C180H224N71O135P19	0.7
1548.944691	4	37474390.74180211	c19+DEPC	0.12	0.13	C183H228N71O137P19	0.8
1493.170766	4	13279078.8	c19-G	-4.09	0.39	C175H219N66O134P19	3.6
1631.206518	4	43583523.62650176	c20+DEPC	-0.69	0.17	C193H240N76O143P20	1.3
1713.467774	4	75274952.23	c21+DEPC	-1.75	0.15	C203H252N81O149P21	1.9
1701.962178	4	14561858.93	c21+DEPC-Eth	1.1	0.35	C201H246N81O148P21	2.7
1799.731394	4	18959349.74159616	c22+DEPC	-0.69	0.23	C213H264N86O156P22	1.1
